Id;Id_dummy;ID_échan;Event;Station;Watermass;Date;Year;Month;Day;Lat_N;Lon_E;Filtre;Pressure_bar;Depth_m;Bacteria_permL;%HNA;LNA_permL;HNA_permL;Picocyano_permL;Nanocyano_permL;Picoeuka_permL;Nanoeuka_permL;%Pico;%Picocyano;Cells_permL
433132;433132;433131;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;2,961;2;495888,89;79,28;102750,00;393138,89;161,1111111;16,66666667;1916,666667;2705,555556;43,28703704;3,356481481;4800
433128;433128;433128;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;9,609;10;491416,67;78,10;107638,89;383777,78;183,3333333;11,11111111;2022,222222;2911,111111;43,01191766;3,575297941;5127,777778
433127;433127;433127;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;19,339;20;393388,89;73,94;102527,78;290861,11;83,33333333;11,11111111;1616,666667;2572,222222;39,68871595;1,945525292;4283,333333
433126;433126;433125;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;30,087;30;358750,00;71,58;101944,44;256805,56;33,33333333;5,555555556;1527,777778;2711,111111;36,49350649;0,779220779;4277,777778
433122;433122;433122;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;39,856;40;342805,56;68,67;107388,89;235416,67;33,33333333;5,555555556;1405,555556;2200;39,48170732;0,914634146;3644,444444
433120;433120;433120;28;N53/2;NFLShelf;2016-05-05;2016;05;05;52,7377;-51,839;0;61,464;60;248527,78;64,17;89055,56;159472,22;11,11111111;0;405,5555556;616,6666667;40,32258065;1,075268817;1033,333333
433246;433246;433245;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;2,771;2;597000,00;78,63;127555,56;469444,44;105,5555556;11,11111111;3888,888889;2166,666667;64,71647165;1,710171017;6172,222222
433242;433242;433241;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;9,04;10;607638,89;79,17;126555,56;481083,33;44,44444444;22,22222222;3900;2272,222222;63,22350846;0,71237756;6238,888889
433240;433240;433239;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;18,934;20;635333,33;79,35;131166,67;504166,67;38,88888889;11,11111111;4777,777778;2861,111111;62,64450867;0,505780347;7688,888889
433238;433238;433237;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;29,546;30;989472,22;80,54;192527,78;796944,44;72,22222222;50;7600;3733,333333;66,97381183;0,630455868;11455,55556
433234;433234;433233;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;39,396;40;1016861,11;78,87;214861,11;802000,00;100;38,88888889;10216,66667;4411,111111;69,86455982;0,677200903;14766,66667
433231;433231;433230;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;59,39;60;681805,56;74,71;172416,67;509388,89;111,1111111;5,555555556;11905,55556;3972,222222;75,13025356;0,694685655;15994,44444
433223;433223;433223;50;L3/8,5;LSS;2016-05-07;2016;05;07;55,188;-53,9748;0;1002,466;1000;115027,78;53,01;54055,56;60972,22;0;5,555555556;5,555555556;138,8888889;3,703703704;0;150
433318;433318;433317;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;2,142;2;928055,56;77,66;207305,56;720750,00;238,8888889;27,77777778;8166,666667;3550;70,14371813;1,993509504;11983,33333
433314;433314;433313;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;9,832;10;948611,11;77,52;213250,00;735361,11;222,2222222;22,22222222;8111,111111;3322,222222;71,36060894;1,902949572;11677,77778
433312;433312;433311;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;19,291;20;846694,44;75,37;208527,78;638166,67;133,3333333;55,55555556;6994,444444;2405,555556;74,33371958;1,390498262;9588,888889
433310;433310;433309;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;30,507;30;691305,56;70,34;205055,56;486250,00;200;38,88888889;6711,111111;1905,555556;78,04265997;2,25846926;8855,555556
433306;433306;433305;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;39,265;40;626792,66;68,47;197609,78;429182,88;244,4444444;27,77777778;6405,555556;1483,333333;81,48400272;2,995234854;8161,111111
433303;433303;433302;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;58,937;60;531972,22;65,10;185638,89;346333,33;383,3333333;22,22222222;6983,333333;1855,555556;79,6875;4,146634615;9244,444444
433295;433295;433295;69;L3_13,5;CLB;2016-05-08;2016;05;08;56,326;-52,8927;0;1052,463;1000;126055,56;58,22;52666,67;73388,89;22,22222222;0;27,77777778;122,2222222;29,03225806;12,90322581;172,2222222
433392;433392;433391;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;4,024;2;584722,22;70,79;170777,78;413944,44;211,1111111;22,22222222;6938,888889;1933,333333;78,52348993;2,318486882;9105,555556
433388;433388;433387;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;11,167;10;612472,22;68,73;191527,78;420944,44;216,6666667;50;7988,888889;2144,444444;78,89957265;2,083333333;10400
433386;433386;433385;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;21,028;20;607361,11;69,78;183527,78;423833,33;150;16,66666667;7677,777778;2200;77,93141593;1,493362832;10044,44444
433384;433384;433383;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;30,08;30;670000,00;62,08;254055,56;415944,44;177,7777778;16,66666667;7422,222222;1966,666667;79,30434783;1,855072464;9583,333333
433380;433380;433379;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;40,998;40;585888,89;68,39;185222,22;400666,67;205,5555556;16,66666667;6661,111111;1661,111111;80,36410923;2,405721717;8544,444444
433377;433377;433376;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;59,757;60;532472,22;66,57;178000,00;354472,22;177,7777778;22,22222222;7338,888889;1444,444444;83,67346939;1,978973408;8983,333333
433369;433369;433369;87;L3_15,5;CLB;2016-05-09;2016;05;09;57,1708;-52,0073;0;997,875;1000;146638,89;56,60;63638,89;83000,00;22,22222222;11,11111111;27,77777778;144,4444444;24,32432432;10,81081081;205,5555556
433442;433442;433441;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;4,621;2;605222,22;62,32;228055,56;377166,67;122,2222222;22,22222222;3044,444444;1716,666667;64,55266138;2,491506229;4905,555556
433438;433438;433437;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;9,028;10;664361,11;63,45;242805,56;421555,56;200;27,77777778;2988,888889;1800;63,56589147;3,986710963;5016,666667
433436;433436;433435;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;20,135;20;618833,33;62,80;230222,22;388611,11;100;11,11111111;2966,666667;1694,444444;64,26076834;2,095459837;4772,222222
433434;433434;433433;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;31,167;30;651861,11;63,63;237055,56;414805,56;127,7777778;27,77777778;3044,444444;1633,333333;65,63218391;2,643678161;4833,333333
433430;433430;433429;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;39,278;40;650194,44;64,04;233805,56;416388,89;133,3333333;50;2861,111111;1505,555556;65,81196581;2,93040293;4550
433427;433427;433426;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;60,622;60;645166,67;63,73;234027,78;411138,89;105,5555556;50;3244,444444;2011,111111;61,90965092;1,950718686;5411,111111
433419;433419;433419;99;L3_20,5;CLB;2016-05-10;2016;05;10;59,276;-49,7105;0;998,995;1000;117416,67;59,21;47888,89;69527,78;22,22222222;0;27,77777778;88,88888889;36;16;138,8888889
433569;433569;433568;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;3,404;2;509750,00;83,07;86305,56;423444,44;111,1111111;94,44444444;2972,222222;2416,666667;55,1142006;1,986097319;5594,444444
433565;433565;433564;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;10;10;526833,33;81,36;98194,44;428638,89;77,77777778;16,66666667;2083,333333;2255,555556;48,74686717;1,754385965;4433,333333
433563;433563;433562;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;19,359;20;313361,11;77,75;69722,22;243638,89;66,66666667;16,66666667;1350;1355,555556;50,79681275;2,390438247;2788,888889
433561;433561;433560;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;29,07;30;290972,22;78,87;61472,22;229500,00;94,44444444;22,22222222;2055,555556;1100;65,70458404;2,886247878;3272,222222
433557;433557;433556;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;39,979;40;276888,89;77,79;61500,00;215388,89;38,88888889;27,77777778;1511,111111;1188,888889;56,02409639;1,40562249;2766,666667
433554;433554;433553;120;L3_28,5;GSS;2016-05-11;2016;05;11;60,6477;-48,1547;0;60,282;60;291472,22;74,58;74083,33;217388,89;50;11,11111111;1561,111111;1033,333333;60,66945607;1,882845188;2655,555556
433643;433643;433643;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;4,121;2;785083,33;64,67;277361,11;507722,22;622,2222222;44,44444444;4305,555556;2522,222222;65,75240919;8,302446256;7494,444444
433639;433639;433638;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;9,348;10;751222,22;64,93;263444,44;487777,78;688,8888889;100;4400;2094,444444;69,87032799;9,45842868;7283,333333
433637;433637;433636;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;21,284;20;746722,22;65,34;258833,33;487888,89;650;116,6666667;4438,888889;1711,111111;73,57429719;9,397590361;6916,666667
433635;433635;433634;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;30,814;30;745805,56;64,69;263333,33;482472,22;477,7777778;94,44444444;3566,666667;2116,666667;64,65364121;7,637655417;6255,555556
433631;433631;433630;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;39,811;40;645777,78;63,41;236277,78;409500,00;1117,287382;205,6698166;4558,087827;2040,022235;71,64912281;14,10526316;7921,06726
433628;433628;433627;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;58,478;60;447944,44;61,01;174638,89;273305,56;1300;66,66666667;4988,888889;1277,777778;82,38719068;17,03056769;7633,333333
433620;433620;433619;144;L3_23,5;CLB;2016-05-12;2016;05;12;60,0772;-48,7757;0;997,694;1000;124750,00;58,27;52055,56;72694,44;44,44444444;0;16,66666667;133,3333333;31,42857143;22,85714286;194,4444444
433731;433731;433730;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;4,61;2;644993,96;72,60;176717,15;468276,81;277,7777778;61,11111111;6855,555556;3383,333333;67,43697479;2,62605042;10577,77778
433727;433727;433726;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;9,125;10;708510,63;65,26;246130,19;462380,43;300;50;5505,555556;2894,444444;66,34920635;3,428571429;8750
433725;433725;433724;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;20,492;20;723338,65;66,10;245209,66;478128,99;194,4444444;61,11111111;6466,666667;3094,444444;67,85512168;1,980758347;9816,666667
433723;433723;433722;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;30,718;30;712018,60;66,17;240880,68;471137,92;155,5555556;16,66666667;5566,666667;2800;67,01366298;1,821730644;8538,888889
433719;433719;433718;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;38,543;40;712615,70;66,44;239139,13;473476,57;222,2222222;50;5822,222222;3238,888889;64,76190476;2,380952381;9333,333333
433716;433716;433715;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;59,992;60;706968,12;65,10;246752,17;460215,94;161,1111111;22,22222222;6072,222222;2605,555556;70,34482759;1,818181818;8861,111111
433708;433708;433708;171;L3_18,5;CLB;2016-05-13;2016;05;13;58,429;-50,6493;0;997,386;1000;123750,00;57,58;52500,00;71250,00;44,44444444;0;27,77777778;127,7777778;36,11111111;22,22222222;200
433946;433946;433945;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;4,19;2;397868,60;79,85;80160,87;317707,73;55,55555556;5,555555556;1661,111111;2361,111111;42,04081633;1,360544218;4083,333333
433942;433942;433941;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;10,506;10;423842,51;77,99;93297,10;330545,41;33,33333333;27,77777778;1572,222222;2333,333333;40,47619048;0,840336134;3966,666667
433940;433940;433939;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;18,518;20;430883,33;78,45;92849,28;338034,06;55,55555556;22,22222222;1361,111111;1944,444444;41,87192118;1,642036125;3383,333333
433938;433938;433937;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;29,823;30;415458,21;77,65;92849,28;322608,94;61,11111111;27,77777778;1855,555556;2344,444444;44,68911917;1,424870466;4288,888889
433934;433934;433933;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;38,826;40;335421,74;73,43;89117,39;246304,35;33,33333333;11,11111111;1322,222222;1866,666667;41,92439863;1,030927835;3233,333333
433931;433931;433930;236;L3_06;LSS;2016-05-15;2016;05;15;54,7528;-54,479;0;60,762;60;237895,17;65,24;82698,55;155196,62;22,22222222;0;366,6666667;811,1111111;32,40740741;1,851851852;1200
