class,validName,DMS,trophic_strategy,motility,Size_um
Acanthoecida,Calliacantha,0,hetero,1,14
Acanthoecida,Cosmoeca,0,hetero,1,17
Acanthoecida,Crucispina,0,hetero,1,15
Acanthoecida,Diaphanoeca,0,hetero,1,25
Acanthoecida,Lagenoeca,0,hetero,1,6
Acanthoecida,Monosiga,0,hetero,1,3
Acanthoecida,Parvicorbicula,0,hetero,1,6
Acanthoecida,Pleurasiga,0,hetero,1,12
Chlorarachniophyta,Bigelowiella,0,photo,1,6
Chlorophyceae,Chlamydomonas,0,photo,1,6
Chlorophyceae,Pachysphaera,0,photo,0,100
Chrysophyceae,Dinobryon,0,mixo,1,45
Chrysophyceae,Paraphysomonas,0,hetero,1,5
Coccolithales,Coccolithus,1,mixo,0,6
Craspedida,Bicosta,0,hetero,1,25
Cryptomonadales_cl,Cryptochrysis-Chroomonas,0,mixo,1,6
Cryptomonadales_cl,Geminigera,0,mixo,1,16
Cryptomonadales_cl,Hemiselmis,0,photo,1,7
Cryptomonadales_cl,Plagioselmis,0,photo,1,10
Cryptomonadales_cl,Rhodomonas,0,photo,1,13
Cryptomonadales_cl,Teleaulax,1,mixo,1,6
Cryptophyceae_cl,Goniomonas,0,hetero,1,10
Diatomea,Actinocyclus,0,photo,0,35
Diatomea,Arcocellulus,0,photo,0,5
Diatomea,Attheya,0,photo,0,20
Diatomea,Chaetoceros,0,photo,0,15
Diatomea,Coscinodiscus,1,photo,0,120
Diatomea,Cylindrotheca,1,photo,0,40
Diatomea,Eucampia,0,photo,0,15
Diatomea,Fragilaria,0,photo,0,13
Diatomea,Fragilariopsis,0,photo,0,17
Diatomea,Lennoxia,0,photo,0,11
Diatomea,Leptocylindrus,0,photo,0,40
Diatomea,Membraneis,0,photo,0,162
Diatomea,Navicula,0,photo,0,50
Diatomea,Nitzschia,1,photo,0,13
Diatomea,Plagiogrammopsis,0,photo,0,32
Diatomea,Porosira,1,photo,1,40
Diatomea,Pseudo-nitzschia,0,mixo,0,50
Diatomea,Skeletonema,1,photo,0,10
Diatomea,Stauroneis,0,photo,0,35
Diatomea,Synedropsis,0,photo,0,76
Diatomea,Thalassiosira,1,photo,0,35
Dictyochophyceae,Apedinella,0,photo,1,5
Dictyochophyceae,Dictyocha,0,photo,1,30
Dictyochophyceae,Florenciella,0,photo,1,6
Dictyochophyceae,Pseudopedinella,0,photo,1,11
Dinophyceae,Amphidinium,1,mixo,1,30
Dinophyceae,Amphidoma,1,mixo,1,14
Dinophyceae,Azadinium,1,mixo,1,15
Dinophyceae,Biecheleria,1,mixo,1,35
Dinophyceae,Chytriodinium,1,hetero,1,70
Dinophyceae,Cochlodinium,1,mixo,1,25
Dinophyceae,Dinophysis,1,mixo,1,40
Dinophyceae,Gonyaulax,1,mixo,1,40
Dinophyceae,Gymnodinium,1,mixo,1,70
Dinophyceae,Gyrodinium,1,mixo,1,40
Dinophyceae,Halostylodinium,1,photo,1,35
Dinophyceae,Heterocapsa,1,mixo,1,23
Dinophyceae,Islandinium,1,hetero,1,30
Dinophyceae,Karlodinium,1,mixo,1,17
Dinophyceae,Katodinium,1,mixo,1,25
Dinophyceae,Neoceratium,1,mixo,0,200
Dinophyceae,Oxyphysis,1,hetero,1,60
Dinophyceae,Paragymnodinium,1,mixo,1,12
Dinophyceae,Pelagodinium,1,mixo,1,10
Dinophyceae,Peridiniella,1,photo,1,20
Dinophyceae,Peridinium,1,mixo,1,35
Dinophyceae,Phalacroma,1,hetero,1,70
Dinophyceae,Polarella,1,mixo,1,10
Dinophyceae,Prorocentrum,1,mixo,1,20
Dinophyceae,Proterythropsis,1,hetero,1,17
Dinophyceae,Protodinium,1,photo,1,11
Dinophyceae,Protoperidinium,1,hetero,1,100
Dinophyceae,Ptychodiscus,1,mixo,1,30
Dinophyceae,Scrippsiella,1,mixo,1,22
Dinophyceae,Spiniferodinium,1,photo,0,42
Dinophyceae,Torodinium,1,hetero,1,108
Dinophyceae,Woloszynskia,1,mixo,1,12
Euglenoidea,Eutreptiella,0,mixo,1,17
Imbricatea,Pseudopirsonia,0,hetero,1,8
Incertae_Sedis,Commation,0,hetero,1,9
Incertae_Sedis,Haplozoon,0,hetero,1,90
Incertae_Sedis,Quadricilia,0,hetero,1,10
Intramacronucleata,Amphorellopsis,0,hetero,1,35
Intramacronucleata,Codonellopsis,0,hetero,1,40
Intramacronucleata,Cymatocylis,0,hetero,1,90
Intramacronucleata,Didinium,0,hetero,1,110
Intramacronucleata,Lohmanniella,0,hetero,1,40
Intramacronucleata,Loxophyllum,0,hetero,1,90
Intramacronucleata,Mesodinium,0,mixo,1,68
Intramacronucleata,Pelagostrobilidium,0,hetero,1,68
Intramacronucleata,Pithites,0,hetero,1,68
Intramacronucleata,Pseudocohnilembus,0,hetero,1,68
Intramacronucleata,Pseudotontonia,0,mixo,1,70
Intramacronucleata,Spirostrombidium,0,hetero,1,68
Intramacronucleata,Spirotontonia,0,hetero,1,100
Intramacronucleata,Strombidinopsis,0,hetero,1,68
Intramacronucleata,Strombidium,0,mixo,1,50
Intramacronucleata,Tintinnopsis,0,hetero,0,60
Intramacronucleata,Uronema,0,hetero,1,68
Intramacronucleata,Zoothamnium,0,hetero,1,60
Kathablepharidae_cl,Leucocryptos,0,hetero,1,6
Mamiellophyceae,Bathycoccus,0,photo,0,1
Mamiellophyceae,Dolichomastix,0,photo,1,3
Mamiellophyceae,Mamiella,0,photo,1,3
Mamiellophyceae,Micromonas,1,mixo,1,2
Ochrophyta_cl,Bolidomonas,0,photo,1,2
Pelagophyceae,Aureococcus,1,mixo,0,2
Pelagophyceae,Pelagomonas,0,photo,1,2
Pelagophyceae,Sarcinochrysis,0,photo,1,5
Perkinsidae,Parvilucifera,0,hetero,1,40
Picomonadida,Picomonas,0,hetero,1,2
Prasinophytae,Prasinoderma,1,photo,0,3
Prasinophytae,Pterosperma,1,mixo,1,15
Prasinophytae,Pyramimonas,1,mixo,1,4
Prymnesiales,Chrysochromulina,1,mixo,1,5
Prymnesiales,Corymbellus,1,photo,1,9
Prymnesiales,Gladiolithus,1,photo,0,21
Prymnesiales,Haptolina,1,mixo,1,9
Prymnesiales,Prymnesium,1,mixo,1,9
Prymnesiophyceae_cl,Phaeocystis_diploid,1,photo,0,8
Prymnesiophyceae_cl,Phaeocystis_haploid,1,photo,1,8
Raphidophyceae,Chattonella,0,mixo,1,37
Raphidophyceae,Haramonas,0,photo,1,34
Raphidophyceae,Heterosigma,0,mixo,1,20
Syndiniales,Amoebophrya,0,hetero,1,5
Syndiniales,Syndiniales,0,hetero,1,2
Telonemea,Telonema,0,hetero,1,6
Thecofilosea,Rhogostoma,0,hetero,1,9
Xanthophyceaea,Meringosphaera,0,hetero,1,30
