Kingdom,Phylum,Class,Order,Family,Genus,validName,Note
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium,add
Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,Apedinella,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Arcocellulus,Arcocellulus,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Attheya,Attheya,
Eukaryota,Choanoflagellida,Craspedida,Salpingoecidae,Salpingoecidae_fa,Bicosta,Bicosta,
Eukaryota,Choanoflagellida,Acanthoecida,Stephanoecidae,Stephanoecidae_fa,Calliacantha,Calliacantha,
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,Chaetoceros,
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella,add
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_fa,Chlamydomonas,Chlamydomonas,
Eukaryota,Prymnesiophyceae,Prymnesiales,Prymnesiales_or,Prymnesiales_fa,Chrysochromulina,Chrysochromulina,
Eukaryota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Commation,Commation,add
Eukaryota,Prymnesiophyceae,Prymnesiales,Prymnesiales_or,Prymnesiales_fa,Corymbellus,Corymbellus,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Crucispina,Crucispina,add
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Cryptochrysis,Cryptochrysis,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Cylindrotheca,Cylindrotheca,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Diaphanoeca,Diaphanoeca,
Eukaryota,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,Dictyocha,add
Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,Dinobryon,add
Eukaryota,Chlorophyta_ph,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastix,Dolichomastix,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Eucampia,Eucampia,
Eukaryota,Euglenozoa,Euglenoidea,Eutreptiida,Eutreptiaceae,Eutreptiella,Eutreptiella,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Fragilariopsis,Fragilariopsis,
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Gonyaulacales,Gonyaulax,Gonyaulax,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium,Gymnodinium,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae_fa,Gyrodinium,Gyrodinium,
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Hemiselmis,Hemiselmis,add
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Heterocapsa,Heterocapsa,
Eukaryota,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma,add
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae_fa,Katodinium,Katodinium,
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Lennoxia,Lennoxia,add
Eukaryota,Kathablepharidae,Kathablepharidae_cl,Kathablepharidae_or,Kathablepharidae_fa,Leucocryptos,Leucocryptos,
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Lohmanniella,Lohmanniella,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Membraneis,Membraneis,add
Eukaryota,Ochrophyta,Xanthophyceaea,Mischococcales,Pleurochloridaceae,Meringosphaera,Meringosphaera,add
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Mesodinium,Mesodinium,add
Eukaryota,Choanoflagellida,Acanthoecida,Craspedida,Codonosigaceae,Monosiga,Monosiga,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula,Navicula,
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,Nitzschia,
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorodendrales,Halosphaeraceae,Pachysphaera,Pachysphaera,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Parvicorbicula,Parvicorbicula,add
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Cladopyxidaceae,Peridiniella,Peridiniella,add
Eukaryota,Prymnesiophyceae,Prymnesiophyceae_cl,Prymnesiophyceae_or,Prymnesiophyceae_fa,Phaeocystis,Phaeocystis_diploid,
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Plagioselmis,Plagioselmis,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Pleurasiga,Pleurasiga,
Eukaryota,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis,add
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Protoperidinium,Protoperidinium,
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pseudo-nitzschia,Pseudo-nitzschia,
Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,Pseudopedinella,add
Eukaryota,Chlorophyta_ph,Prasinophytae,Pyramimonadales,Pyramimonadales_fa,Pterosperma,Pterosperma,
Eukaryota,Chlorophyta_ph,Prasinophytae,Pyramimonadales,Pyramimonadales_fa,Pyramimonas,Pyramimonas,
Eukaryota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Quadricilia,Quadricilia,add
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,Strombidium,
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Synedropsis,Synedropsis,
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Teleaulax,Teleaulax,
Eukaryota,Cryptophyta,Telonemea,Telonemida,Telonemida_fa,Telonema,Telonema,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Torodinium,Torodinium,add
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Uronema,Uronema,add
